year,spen.ch,spen.so,spen.co,spen.pi,spen.cm,ch.ch,ch.so,ch.co,ch.pi,ch.cm,kod.ch,kod.so,kod.co,kod.pi,kod.cm,ci.ch,ci.so,ci.co,ci.pi,ci.cm,pws.ch,pws.so,pws.co,pws.pi,pws.cm,se.ch,se.so,se.co,se.pi,se.cm
1975,2.888179494,5.493767454,2.334453751,6.374167616,5.737337383,3.204933522,6.294952496,4.546135321,5.596912532,5.082386785,3.508933526,5.794814168,4.375004816,7.044461047,5.910808434,4.279872182,6.333261425,5.326184241,6.144010037,5.809880772,4.483373306,5.97494577,5.205458801,6.480355677,5.689993066,5.603569794,6.035486973,5.91574903,6.726691763,5.939001285
1976,3.330616667,5.762986736,3.323870607,6.160962871,5.683884185,3.097951071,6.197634192,4.241297387,5.781616091,5.276248051,3.280350693,6.030106459,4.445915414,6.796047102,5.554290441,4.175395831,6.443743341,5.291916923,6.266310973,5.941205729,4.30272045,5.703728892,5.253863591,6.65671699,5.543590057,5.565394405,5.896701994,5.975316901,7.14124785,5.948547928
1977,3.68069803,6.060670271,4.783717822,6.747423073,6.131333746,3.369957607,6.021061474,4.30560929,5.993486491,5.4022975,2.723455672,5.79986139,4.688375322,7.176208937,6.031633431,4.152960674,5.995122512,5.352774685,6.309983207,5.665737609,3.936664513,5.567711986,5.4954472,6.465010716,5.683239815,5.509565403,6.030957776,6.234139516,7.327223577,6.217796261
1978,4.048519488,6.557870967,5.55250639,6.817229041,6.247598925,3.430397591,5.934481281,4.996200725,6.279940117,5.763676519,3.151676231,5.813843754,5.148074889,7.052532696,6.128828181,4.124699809,6.215647872,5.45905759,6.484179359,6.068050356,4.31768734,5.319572389,5.499336482,7.194188374,6.276191033,5.434552937,6.049379302,6.10877975,7.040519587,5.929261529
1979,3.99321572,6.350541262,5.438037356,6.895503761,6.356502936,3.718999638,6.264692473,5.077633126,6.038693267,5.591171497,3.084218687,6.110246179,5.143495695,7.237810441,6.101261313,4.341157437,6.190200549,5.456249092,6.427507693,6.212733726,4.678090247,5.894575786,5.527788383,7.151094628,6.126032324,5.442272764,6.033272933,6.055640129,7.160717751,6.12363542
1980,4.424407899,6.37032449,5.210112429,6.701829346,6.231487941,3.739414103,6.182552167,4.896553773,6.065435175,5.202521011,3.584218112,6.080549649,5.084733525,7.014387332,6.035495778,4.332579835,6.530351355,5.694769235,6.532288887,6.116334398,4.728199519,6.350272834,5.598968783,7.312987284,6.018896802,5.443075144,6.173175484,6.14824656,7.278020007,6.067549544
1981,3.963693405,6.40765548,5.408317996,6.828331474,6.218698794,3.635282638,6.2610665,5.481931114,5.941208215,4.801424292,3.668106238,6.09060683,5.537596226,6.907936711,5.812306257,4.032497883,6.71911392,5.924707682,6.127829206,5.890150409,4.598495042,5.881644243,5.799452211,7.309678256,6.095874464,5.412203423,6.19215917,6.310469205,7.383640159,6.611712052
1982,3.822298871,6.365118678,5.106044634,6.451421352,6.12992373,3.27600199,6.424982688,4.791880041,5.506745789,4.35804912,3.696356389,6.290176903,5.19758928,6.663075977,5.634232344,4.399171657,6.376086183,5.722384625,5.999033924,5.902703293,4.63738965,6.098044644,5.531023947,7.145517423,6.110098916,5.382361098,6.084161803,6.28643334,7.574309185,6.514971083
1983,3.74733411,6.331309039,5.492690561,7.064055631,6.242991142,3.482444792,5.964802042,5.041897752,5.648168684,5.247089056,3.641573253,6.265461942,5.360828104,7.035201243,6.054765069,4.602721786,6.635066644,5.669169921,6.119947372,6.08956107,4.624694531,6.155092096,5.763288697,7.333848414,6.231803084,5.423796178,6.269854175,6.265683425,7.391474233,6.526226941
1984,3.962558736,6.087627046,5.236824345,6.646503318,6.138631059,3.423409728,6.21638603,5.28146063,5.204467279,5.104695332,3.663983455,6.503524988,5.453572114,6.865389757,5.833800294,4.608729227,6.701604419,5.818603262,6.11973579,5.70876497,4.623755672,6.10998734,6.010200278,7.400180633,6.290874993,5.461665069,6.159055001,6.408894984,7.715672695,6.434809775
1985,4.044343735,6.161292219,5.372643246,6.605465264,6.280693757,3.863084825,6.278487914,5.066821447,5.810988178,5.426716161,4.350131674,6.253828007,5.227089338,7.072221324,6.154416669,4.488198062,6.987581587,5.890328784,6.432948938,6.015593608,4.5024954,6.24106286,5.629131194,7.057321612,6.267294487,5.388301954,6.139156865,6.531984703,7.664231204,6.548157036
1986,3.849112166,6.168382855,5.352408293,6.082266779,5.997486427,3.549248557,5.900826309,5.177288261,5.392301161,3.210586025,2.025305865,6.431508344,5.285138564,6.70550741,4.300421557,4.462128352,6.855215286,5.667963532,5.492508956,5.14227681,4.504810553,5.8855574,5.244653099,7.467738922,6.000598046,5.445222666,6.164459334,6.188399419,7.012041484,6.294206233
1987,4.218062618,6.424979097,5.703747792,6.847870148,6.092697842,3.995679061,6.064190966,5.568682703,6.476709783,5.431370198,4.274296432,6.110433471,5.481933978,7.163281088,5.761734692,4.247261127,6.714646227,5.756407873,6.144842484,5.558110704,4.345628546,6.062132417,5.679910077,7.073036394,5.9855989,5.54215044,6.327318671,6.019692335,7.049471274,6.345940786
1988,3.901730692,6.377737781,5.647225461,6.862885847,6.201066771,3.516931809,6.320904081,4.833994466,4.44266787,5.417342133,4.347017601,6.720027258,3.41480628,6.834110546,6.01244534,4.175134759,6.582015383,5.546476034,6.135025417,5.484597336,4.548450842,5.959807651,5.6283409,7.339344733,5.54693853,5.53088327,6.333591747,6.343227945,7.774226271,6.52323151
1989,3.904499155,6.365479935,5.487398591,6.457255577,6.119489804,4.034708651,6.278592196,5.114380767,5.740369006,5.346615037,4.385588401,6.75619109,5.468079876,6.77697794,5.832227169,4.305093296,6.399308311,5.709402265,5.994569208,5.473770082,4.616013141,6.239185321,5.719579029,7.645078992,5.524235098,5.358481181,6.314622362,6.457612157,7.5097669,6.693420549
1990,4.158754387,6.537296873,5.501235958,7.025991836,6.020467357,4.290368556,6.106343571,5.219167844,6.067925207,5.087639468,4.613090932,6.619914894,5.51169624,7.221227464,5.769621733,4.35501068,6.968524135,5.649994563,5.926046985,5.144007231,4.505217832,6.248368613,5.807440988,7.569789989,6.074218326,5.476728765,6.425928884,6.50474318,7.791875406,6.896519053
1991,4.00008685,6.566909126,5.621388182,6.989911722,6.340856202,3.592953572,6.229771661,5.492680784,6.191471415,5.356173148,4.353646996,6.641369094,5.447289851,6.519912483,5.868559804,4.326233421,6.699301418,5.676954108,6.070392919,5.523728262,4.693075899,6.267437623,5.792091783,6.936368752,6.024578838,5.347724117,6.50392136,6.567756285,7.543612516,7.017162063
1992,4.241870089,6.323712559,5.342633855,6.996866449,6.237624407,3.739809599,6.208975833,5.360705097,6.217056546,5.580872538,4.271934494,6.459126099,5.496191828,7.531726905,6.18264572,4.334212409,6.568928266,5.50654156,5.985762282,5.761495583,4.837481114,6.180504355,5.648956878,6.760505188,5.87998135,5.334564321,6.378835972,6.564125522,7.758149695,7.050213161
1993,3.741939078,6.479333264,5.408078771,6.962835727,5.900171516,3.49762065,6.236548597,5.364158734,5.634481301,5.08239397,4.116308815,6.652105584,5.471759499,6.911826599,5.735400069,4.190219608,6.510892575,5.777826132,6.336780233,5.223153147,4.768319847,6.182832196,6.024557497,7.566865106,6.322954697,5.346022237,6.25414453,6.757463218,7.757964165,7.205295897
1994,3.854973674,6.18800945,5.421991986,7.212505669,5.782654617,3.494154594,6.291899848,5.449506168,6.313444948,5.192860044,4.272653697,6.696390467,5.488261561,7.631943823,5.716279701,4.163131546,6.641035827,5.668000846,6.474530067,5.041475588,4.730200674,6.477208394,5.984534964,7.205886975,6.347757853,5.478586695,6.447134455,6.524484141,7.68092903,7.071485293
1995,3.691876823,6.350908458,5.467249868,6.343901302,5.857973211,3.653501947,5.886686396,5.286110513,5.27661803,5.110576244,4.239274447,6.399061298,5.304998631,6.542443229,5.499845104,3.963693405,6.648321167,5.526263011,5.842461954,5.006615773,4.859414524,6.619448138,5.662114411,7.415787921,6.10447004,5.378016136,6.393998938,6.499266053,7.810432234,7.195769206
1996,3.705350463,6.338846984,5.048806799,6.362468526,5.924294796,3.544935766,6.023021461,4.958602103,5.926564168,5.147976054,4.262427357,6.559153674,5.581037809,7.042777611,5.960882995,4.208280079,6.179719215,5.214904751,6.460229658,5.265782113,4.80994334,6.234839848,4.919684634,7.41223474,6.471412299,5.304492682,6.138415126,6.295458678,7.462147473,7.174087063
1997,3.735997884,6.475935316,5.187881543,6.90568786,6.028023159,3.416973173,6.493670894,5.11240054,5.890414311,5.082631007,4.089657882,6.667738373,5.628544226,7.343654034,6.077167248,3.931559567,6.504417167,5.251170829,6.303413798,5.310119537,4.520522834,6.308928556,5.289321338,7.457801643,6.712966806,5.357141726,6.064731209,6.475537539,7.628750542,7.201694992
1998,3.418301291,6.30243635,5.284437502,6.927188034,5.96988816,3.468199586,6.249253405,4.952356477,6.230104159,5.298859624,4.377360899,6.463365247,5.471835706,7.075487908,6.022742945,4.012626351,6.198955493,5.129599673,6.063220736,5.241568892,4.617073766,6.155803488,5.230643033,7.653343101,6.491333114,5.400720993,6.089676959,6.55983292,7.891249016,6.94222594
1999,3.80611211,5.788224953,5.410346942,6.551799489,5.91329981,3.182129214,6.179433148,5.090688253,5.631508705,4.736866402,4.286007122,6.424837878,5.522512046,6.99683539,5.81303227,4.154667378,6.311245121,5.394166143,6.187458674,5.430078282,4.607347777,6.354737134,5.853873354,7.589788,6.804379149,5.590397062,6.308613496,6.291597039,7.307783176,6.872448056
2000,3.433289685,6.015016292,5.330924885,6.604375222,5.804347326,3.486855355,6.021417967,5.118753983,6.107809086,4.806478449,4.269582986,6.262691665,5.611928196,7.291527863,6.061409123,4.294708658,6.491610291,5.083456035,5.823475533,5.108463541,4.69220337,6.354747496,5.693884286,7.547116293,6.580197465,5.614777031,5.906575831,6.518356381,7.826437585,7.045912788
2001,3.848189117,6.022676999,5.30689017,6.336534978,5.897687009,3.401400541,6.041509929,4.69348072,4.819872822,2.703291378,4.460882815,6.607868425,5.702098657,7.263130194,6.049936728,4.464400116,6.616411231,5.412299232,6.38331546,5.547581506,4.592643013,6.436165192,5.813259318,7.27763055,6.301446284,5.696356389,6.183371215,6.510879717,7.656395367,7.055836851
2002,3.65195607,6.342488017,5.117294502,6.629233603,5.868914686,3.532499586,5.847974689,5.016598828,5.701255319,3.945517822,4.158694118,6.619706756,5.546255095,7.148208743,5.67889697,4.459286917,6.703833091,5.055538868,5.95739799,5.226192483,4.557723694,6.277041625,5.717601443,7.715800205,6.300368496,5.651270259,6.30920418,6.397657625,7.720288596,6.808044112
2003,3.733357788,6.368676738,5.372175286,6.823854299,6.071073762,3.353339095,6.061502616,1.568201724,3.376576957,4.789792168,4.307132191,6.483892693,5.69008173,7.331237765,6.034222846,4.271097792,6.73805449,5.50985012,6.458712466,5.133497393,4.50015411,6.298584779,5.792310427,7.371649298,6.338771143,5.57012362,6.206241478,6.489255168,7.65641446,7.146208993
2004,3.725258066,6.267178536,5.157205851,6.973875536,5.832372855,3.248708736,5.955547772,3.842359573,5.287902457,4.895162776,4.236083585,6.199704726,5.597728086,7.479135092,5.8626751,4.257486579,6.383290126,5.368812927,6.372039041,4.897720537,4.602667578,6.402175547,5.729711365,7.777400858,6.553754539,5.555372598,6.124991717,6.477524093,7.772191414,6.973874014
2005,3.640083731,6.387153392,5.229477059,6.629595511,5.904393085,2.986771734,5.9214508,4.593518662,5.58381859,5.3208211,4.234922031,6.3037497,5.743136456,7.500968106,5.958100197,4.117503299,6.566202191,5.322390911,6.273160831,5.356085162,4.095308861,6.509059572,5.882934164,7.336900529,6.705452733,5.382199012,6.279818373,6.32053573,7.067981844,6.956796742
2006,3.766933094,6.350094825,5.178847502,6.863282998,6.22549511,3.521007252,5.837127387,4.864967681,6.305297187,5.408960364,3.858477042,6.259860394,5.551526847,7.394612988,5.980370661,3.946157395,6.442553609,5.264009851,5.637920808,5.19578899,4.033825694,6.114299662,5.516720422,7.802531848,6.50796551,5.429159362,5.639787204,6.314415645,7.652098714,6.984981218
2007,3.894758994,6.236544567,5.353452659,7.104147259,5.897699101,4.016197354,6.078494881,5.208269325,6.378390269,5.764421989,4.162862993,6.237285045,5.478247511,6.943913571,5.866172694,3.997386384,6.366596827,5.242628378,5.828955554,5.509773587,4.018367578,6.283107789,5.740859081,7.626890874,6.638353257,5.417543101,5.966361876,6.376845662,7.203423223,6.976566522
2008,3.857754522,6.105207606,5.395417262,6.897628081,5.990230046,3.818621726,6.139811419,5.042862847,6.148707206,5.430563604,4.266090516,6.157337676,5.460512969,7.441678533,5.915531212,4.016908044,6.465595633,5.192834972,6.080506715,5.197528656,4.277402904,6.299852549,5.478010647,7.263830168,6.265149082,5.539161443,5.855875168,6.420860054,7.580936511,7.030605227
2009,3.886095732,6.282585637,5.216535357,5.92105564,5.79433117,3.566673138,6.397419238,5.201937607,5.690001934,5.233280467,4.169821329,6.355396344,5.425584755,6.947668746,5.937685359,3.424881637,6.740042931,5.32090823,5.756547111,5.512106464,4.079253622,6.539921397,5.552871326,7.852348929,6.573573918,5.447057201,6.094277173,6.411872634,7.383964293,7.092524431
2010,3.826139618,6.304278499,5.185918777,6.698294412,5.977964915,3.471144965,6.255301698,4.885315979,5.956728233,5.190233621,4.531133899,6.348508135,5.274190189,7.221216922,5.898663213,3.76260355,6.52119289,4.93827449,5.615575535,5.287279815,4.017909396,6.56590104,5.535515642,7.514547035,6.589283806,5.382523124,5.97634952,6.363823435,7.771500937,7.099456255
2011,3.862131379,6.350236191,4.963400566,5.690492008,5.700640558,3.946746935,6.381142347,4.522652853,5.138952863,4.741561266,3.923244019,6.409895776,5.31885395,7.227196708,5.527059918,3.701395269,6.455295683,5.029209213,5.860855856,5.277856657,4.066661302,6.374347584,5.305045966,7.42731174,6.186656914,5.631779507,5.988850024,6.319464387,7.328469104,6.824753512
2012,4.708225381,6.154235241,5.468147864,6.891750929,5.829691569,3.96397661,5.792629086,4.50936384,5.940315727,5.004394467,3.907787443,6.51199466,5.429214326,7.449751433,5.886650313,4.06703364,6.417396453,5.425752617,6.331823953,5.590428289,4.367244071,6.519200898,5.809244484,7.950876383,6.402565884,5.544723954,6.222698787,6.5877802,7.976748503,7.061572082
2013,,6.506147709,5.472491698,5.858061138,,,6.19103021,5.122081472,5.546684526,,,6.490989442,5.673473407,7.028326466,,,6.461624115,5.140404328,5.961134793,,,6.531476235,5.789352224,7.646498574,,,6.184210034,6.578595549,7.570469921,
2014,,,5.42431309,7.222289821,,,,4.914099757,6.296272612,,,,5.613315277,7.518657247,,,,5.34409937,6.808669138,,,,5.337459261,7.991367774,,,,6.331674642,7.544857866,
