year,spen.ch,spen.so,spen.co,spen.pi,spen.cm,ch.ch,ch.so,ch.co,ch.pi,ch.cm,kod.ch,kod.so,kod.co,kod.pi,kod.cm,ci.ch,ci.so,ci.co,ci.pi,ci.cm,pws.ch,pws.so,pws.co,pws.pi,pws.cm,se.ch,se.so,se.co,se.pi,se.cm
1917,3.892094603,5.791760804,4.212187604,6.33243846,5.970346876,2.909020854,5.946912844,4.324652786,5.597832252,5.182431773,3.214048679,6.209273941,4.893034556,6.392226359,4.741742342,4.597289216,5.974831194,5.399934912,5.858074385,4.989187204,4.470189906,6.20981436,5.406274413,6.634354219,5.416578936,5.546282255,6.513590321,6.21201865,7.594256726,6.935173003
1918,2.84509804,6.057780177,4.748962861,4.904174368,4.927370363,2.600972896,6.248637695,4.543211019,3.681874122,5.343843655,2.819543936,6.291731943,5.018005238,5.451348851,4.394083776,4.144449661,6.11889801,5.237681946,4.637959794,4.627458032,4.059525553,6.059510784,5.307566632,6.003594936,3.543943942,5.649636618,6.438324593,6.256249774,7.386158013,6.266427391
1919,3.838849091,5.91944421,4.678518379,6.324241288,5.543198586,2.698970004,6.262179749,4.352047383,5.473962609,5.327949174,2.846955325,6.456050372,4.949243591,6.296099142,5.35018985,4.491781776,5.992829558,5.480514282,5.648871104,4.871508721,4.018409207,5.894055075,5.356345243,6.725482595,4.703437552,5.537632749,6.175782221,6.059961181,7.25819249,6.571547659
1920,3.612783857,6.528505339,3.176091259,4.674861141,5.731508184,2.938019097,6.096480022,4.122248654,4.486005186,4.942841099,3.282168778,6.04034873,4.660523977,4.830511682,4.587183207,4.475830933,5.934508046,4.312156191,3.673665876,4.370716589,4.039612382,5.890806515,3.986458213,4.101884487,5.047594141,5.897880447,6.278781715,5.959789071,6.888485246,6.592461233
1921,3.591064607,6.261786087,3.342422681,5.878923734,6.124080157,2.683947131,5.808124511,4.174699288,5.555710975,5.044512322,3.000867722,6.037473112,5.078181218,6.441892526,5.07145118,4.431556741,6.041181409,5.30086276,5.804415466,4.565316427,4.235326402,5.994882643,3.95240494,6.38404358,5.585769702,5.922208355,6.382081371,6.099986059,7.380245423,6.861325278
1922,4.029383778,6.130976692,4.876794976,5.15715444,6.047975405,3.16879202,5.943169415,4.268905441,3.9654369,5.009115059,3.281260687,6.148456117,4.889604202,5.967786585,5.327342584,4.707851099,6.02370093,5.155111239,4.592687392,4.177940307,4.364175633,6.015541232,4.712750689,6.388769898,5.89262879,5.778225074,6.399000996,6.127775492,7.600746971,6.913182342
1923,3.977723605,5.914078585,5.104828404,6.594536186,6.071808392,2.919078092,5.852881165,4.975123787,6.006462619,5.423521113,2.77524626,6.22867158,5.081656893,6.73520682,5.511490314,4.878636673,6.179224511,5.273362455,5.876227081,5.073553397,4.372304302,5.49144014,5.281828467,6.92407693,5.768897713,5.656021499,6.265647382,6.084539817,7.477545831,6.785743144
1924,3.982271233,6.48735052,5.104145551,5.582177038,6.113843119,2.994317153,5.708181165,4.477830024,4.630468556,5.234180549,3.639287226,6.479340034,4.968296115,6.427108615,5.621130564,4.941531308,6.30096919,5.29698531,4.072911316,4.773640193,4.654551934,5.608609461,5.469530426,6.611225017,5.816346711,5.797406742,6.310631296,6.083453168,7.450963074,6.346307978
1925,3.886490725,5.854123782,5.287353773,6.570507915,6.383150854,2.641474111,5.659215252,4.503000338,5.830605347,5.088320403,3.405858399,6.062657932,5.241733207,6.663389365,5.861223663,4.84438397,6.164075533,5.547987494,5.767937634,5.004691012,4.689947841,5.662199499,5.490037179,7.047426085,5.670487061,5.584987824,6.159736487,6.073592992,7.507766616,6.687648978
1926,4.021189299,5.987442805,5.097951071,6.16301221,6.385427515,3.18920949,5.895278863,5.00613217,5.271167579,5.267793381,3.505149978,6.201943882,5.180550209,6.724054979,6.024346901,4.830550177,6.069282832,5.588547326,5.401169545,5.129048286,4.678427322,5.854266559,5.825533867,6.787099782,6.107938837,5.6584798,6.130613879,6.108746618,6.911867459,6.419444367
1927,4.037426498,5.971183041,4.984977126,5.954676587,6.106564835,2.376576957,6.020768864,4.8175852,4.661462459,4.702749247,3.69818757,5.852556842,5.463362856,6.186196927,5.622225424,4.859240402,6.021127666,5.718093775,5.754388093,4.99839013,4.430091188,6.09094934,5.69432084,6.904942639,5.991137435,5.785332683,6.279087422,6.334334907,7.556919677,6.432729481
1928,4.041392685,5.970904498,4.926856709,6.253701381,6.084933575,3.097604329,4.317394675,4.565399131,4.861731501,4.659383697,3.187802639,5.668766922,5.159043559,6.785927611,5.264196621,4.710980017,5.962786853,5.26683825,5.576183501,4.796768543,4.557447046,6.015779594,5.397861829,6.982881531,5.748398144,5.662941896,6.41287012,6.136226395,7.339421507,6.454958524
1929,4.240549248,6.270259476,5.20709554,6.784959459,5.912381499,2.840106094,5.854293286,4.274365706,4.829400272,4.702421919,3.272537777,6.07301191,5.35945602,6.217851754,5.374790491,4.850836083,5.906079563,5.697643382,6.009739338,4.811233065,4.571825249,5.963584794,5.848462544,6.831028514,5.54517718,5.797160166,6.260806918,6.300705674,7.638321817,6.74770181
1930,4.100370545,6.473822597,5.109578547,5.999087023,6.069631103,3.036628895,6.198141125,4.601179653,5.229325969,5.078540189,3.056904851,6.024668706,5.23064048,6.835050133,5.729921714,4.772915521,6.053830313,5.516262946,5.674145297,4.75773756,4.368955945,6.035859817,5.16731438,6.686643686,5.456098693,5.630620061,6.218027131,6.0614898,7.435263379,6.657763348
1931,4.245512668,6.300312818,5.050379756,6.556881174,6.287868884,2.840106094,5.774882495,4.402639613,5.909736235,5.127221459,3.113943352,6.154841632,4.717603939,6.673936386,5.820425448,4.859612579,6.12585034,5.574003472,5.644561671,4.960561147,4.22680605,5.878425275,4.999374165,6.539883061,5.417436815,5.530240692,6.004519126,6.14282917,7.354216039,6.580412868
1932,4.1430148,6.137480709,5.278753601,6.492648659,6.301702631,2.755112266,6.044669872,4.722181297,5.512000939,5.280744499,3.143951116,6.262202545,4.96107922,6.817807238,5.581782459,4.875495341,6.258940513,5.274093162,5.072569709,5.207968105,3.792601781,6.05519823,5.235025687,6.481526613,5.673067008,5.807167549,6.094080682,6.08745522,7.411336733,6.706166331
1933,4.158362492,5.990516444,5.392872745,6.815478128,6.363781153,2.898725182,5.791922118,4.431283332,5.729641765,5.058794108,3.406199424,6.207774084,4.952249841,6.883200839,5.516162395,4.908817315,6.132191465,5.400123355,5.968479213,5.423096713,4.16328067,5.457533716,5.001435141,6.832002281,5.339550811,5.833187287,6.277112987,6.291371959,7.701808723,6.881150383
1934,3.968482949,6.563789491,5.068927612,6.731282476,6.178026788,2.905256049,5.991635803,4.258709101,5.571839217,5.089650816,3.099335278,6.424423427,4.885638221,7.032643416,5.53937473,4.934407543,6.378448959,5.231566429,5.634013506,5.172804271,4.205772582,6.027747427,5.054149407,6.41800033,5.356920309,5.94422498,6.380825515,6.245427281,7.480691007,6.744763019
1935,3.806179974,6.192567453,5.454234896,6.976395837,6.169262864,2.997386384,5.798870154,4.599479143,5.775669418,4.85360088,3.090610708,6.274458979,5.264588814,6.751873619,5.806260718,4.760897233,6.198982136,5.516530086,5.930910335,5.281778532,4.107074231,6.064933207,4.641305516,6.981435272,5.398328962,5.879162998,6.33988671,6.255227384,7.705413685,6.658621271
1936,4.217483944,5.887673552,4.868644438,6.968576335,6.15854341,3.212986185,5.613830198,4.287308952,6.08113479,4.896013359,3.356408327,6.293570922,5.217225923,7.224976971,5.807327302,4.722024825,6.38475705,5.333850145,5.688145632,5.364822931,4.026124517,5.946381514,5.02365158,6.523025773,5.436246952,5.814291556,6.404049398,6.146051717,7.546127751,6.530040684
1937,3.959041392,6.274550385,5.343802333,6.855464638,6.366665721, ,6.170871354,4.374656713,5.348915951,4.392890321,3.090963077,6.25198965,5.190216805,6.924174888,5.828186038,4.799450832,6.368269029,5.330015826,5.928771089,5.448445046,3.813981076,5.877530865,4.72209895,6.8778144,5.726178494,5.631850476,6.39570128,6.342348647,7.481274038,6.665089857
1938,4.113943352,6.017158598,4.995196292,6.778534708,6.188084374,3.080265627,5.398695024,3.946157395,5.436092645,5.209220023,3.410102077,6.119992179,5.049880592,7.069713152,5.647892283,5.020452442,6.217208014,5.212214247,5.50421524,5.435119406,4.10404303,5.709405657,4.634084111,6.317755879,5.705468564,5.78735419,6.178211224,6.050063685,7.375150496,6.471215703
1939,3.681241237,6.030194785,5.265289626,6.856293774,6.120935693,3.230959556,5.815517315,2.340444115,4.93874482,5.178314935,3.123524981,6.238096559,5.170308664,6.999908745,5.751990026,4.9785457,6.111677114,5.67951511,6.415680171,5.603132459,4.427615924,5.715133048,5.503192606,7.062302743,5.846629018,5.746950076,6.223862328,6.264418513,7.463798837,6.735736511
1940,4.336459734,5.908538632,5.26245109,6.728110184,5.965906915,3.001733713,5.818557758,4.489494422,5.514070696,4.715936524,3.05422991,6.107728438,5.299975553,6.880901071,5.657251911,5.046811113,6.187572889,5.555365344,5.854434185,5.479861674,4.312642725,5.818633596,5.787872611,6.578145392,5.677494715,5.60075515,6.19492735,6.400549904,7.778594099,6.834631505
1941,3.995635195,6.379794843,5.089905111,6.8301137,5.993700695,3.230193379,6.096151246,4.064570292,5.686730982,4.828086043,2.824776462,6.298974618,5.02883549,6.784797391,5.704753476,4.930490565,6.166808587,5.80944052,5.984755427,5.413031391,4.026042721,5.937245997,5.888531057,6.845326791,6.082277919,5.516257654,6.050673183,6.344608974,7.52018473,6.837662413
1942,4.330413773,5.731266349,4.957128198,6.639506411,5.977220447,3.041787319,5.604201205,4.303023169,4.983833689,5.13345268,3.305566314,6.259564017,4.775690528,7.096200944,5.747669667,4.840118646,6.287786507,5.446928415,6.163507539,5.485580897,4.342639774,5.959305707,5.413393655,7.034039414,6.24405113,5.641587131,6.23610275,6.225360463,7.256206488,6.520939335
1943,3.785329835,5.910304168,5.377852419,6.42386819,6.086324231,3.253338005,5.344299903,4.153448989,5.754417145,5.42401545,2.11058971,6.309862155,4.713280485,6.695074685,5.474923966,4.808082624,6.192208552,5.409292193,6.258982139,5.583836707,4.415340673,5.999827551,5.556092541,6.921517666,5.879195119,5.754721302,6.226158685,6.116010677,7.28654781,6.60317004
1944,3.531478917,5.876391062,5.06483222,6.561053656,6.086074954,2.867467488,5.939029772,3.895753942,5.645303363,4.85629982,1.995635195,5.923691039,4.779033419,6.956386676,5.469111843,5.028587518,6.168636824,5.518287521,6.136070224,5.44595741,4.198849453,5.820293433,5.565848999,7.065663279,5.848920948,5.695567476,5.948530816,6.41289966,7.335548481,6.52637844
1945,3.079181246,6.05579866,5.180125875,6.293141483,6.056752441,2.878521796,6.319069398,3.820923588,5.95748469,5.566986348,3.146438135,5.997121533,4.751471568,6.979815561,5.519558937,5.025289476,6.168489528,5.764455606,6.12669332,5.642775044,3.776773802,5.743108994,5.646120313,6.904500887,5.660503099,5.681328088,5.872837784,6.374170368,7.394833447,6.60254819
1946,3.579783597,5.456214155,4.746634199,6.3654131,5.74888544,2.882524538,5.568587722,3.663700925,5.674242772,5.111057419,2.92992956,6.100530791,4.88212592,6.947270267,5.844817519,5.04642102,6.308629713,5.647264599,5.833613043,5.377754159,3.968249394,5.580749399,5.537783847,6.907261374,5.91785459,5.681298235,5.719766192,6.189231681,7.147415453,6.461550147
1947,3.602059991,5.804480189,4.593286067,6.226264712,5.750122527,2.989449818,5.734435765,2.971739591,6.030014872,4.964434067,3.32776749,5.950528414,4.510062193,6.775864252,5.835759673,5.212033043,6.333086993,5.610744246,6.220146545,5.666056297,4.263280914,5.728493383,5.479608417,6.391069259,5.658914363,5.578263193,5.690017894,6.331599968,7.156925982,6.679313584
1948,3.176091259,6.241870089,4.290034611,6.188647296,5.834484285,2.84260924,5.548010858,3.778802204,4.961553973,4.423229485,3.380573003,5.964205399,4.730273417,6.692651222,5.68399838,5.273031382,6.421994287,5.446694019,5.636490905,5.465818415,4.32446766,5.942025921,5.460416697,6.784574075,5.739774019,5.67610806,5.742097975,6.357913894,7.642669016,6.615214388
1949,3.963787827,5.421932813,4.849419414,6.207822799,6.017367284,2.462397998,5.413328269,4.164947373,5.790071132,5.18091114,3.033825694,5.67012984,4.6090926,6.72466091,6.094550433,4.872156273,6.394687327,5.545759735,6.053909341,5.653771911,4.469321185,5.821905723,5.343688185,6.267352451,5.74095766,5.722968562,5.913613077,6.217985068,6.974227167,6.621025499
1950,3.857332496,5.951580345,4.745855195,6.454051739,6.16571903,2.705863712,5.104036194,3.872971631,4.287936027,5.361281983,3.475816413,5.78080463,4.68834862,6.322297254,5.738442819,4.951483231,6.179038492,5.454410348,5.620640876,5.729682232,4.089763854,6.083015019,5.395081651,5.904714464,5.547479334,5.697530105,5.963464819,6.519857645,7.346746263,6.549236418
1951,3.62324929,6.016699138,4.593286067,5.958324932,6.150265087,2.26245109,5.470097227,3.973127854,4.911168266,5.092485543,2.974050903,5.501264716,4.712371866,6.660554913,6.09719933,4.815079418,6.173204339,5.368790635,6.357366654,5.889670836,4.197693975,5.793463494,5.358909011,6.336027225,3.802363174,5.599468221,6.138761702,6.241484968,6.991343807,6.627741707
1952,3.73239376,5.803661923,4.680335513,6.43836828,5.837714668,3.102433706,4.961734243,3.136720567,5.136247975,5.463916867,3.385248682,5.512093108,4.61993813,6.713880561,5.683429806,4.667443613,6.095752205,5.357195155,5.740420328,5.501131867,4.313086476,6.043707218,4.825283277,6.300286499,3.669874502,5.572351066,6.086415716,6.065796621,6.697352201,6.184180764
